drug1,drug2,severity,mechanism,clinical_effect,management
Warfarin,Ibuprofen,Major,Pharmacodynamic,Increased bleeding risk,Avoid NSAIDs with Warfarin
Simvastatin,Clarithromycin,Major,CYP3A4 Inhibition,Increased simvastatin levels (Myopathy),Suspend statin or switch ABX
Sildenafil,Nitroglycerin,Contraindicated,Synergistic Vasodilation,Severe Hypotension,Do not use together
Warfarin,Rifampin,Major,CYP Induction,Reduced anticoagulant effect (Clot risk),Monitor INR; increase dose
Lisinopril,Spironolactone,Moderate,Pharmacodynamic,Hyperkalemia (High Potassium),Monitor serum potassium
Digoxin,Amiodarone,Major,P-gp Inhibition,Increased Digoxin toxicity,Reduce Digoxin dose by 50%
Fluoxetine,Metoprolol,Moderate,CYP2D6 Inhibition,Bradycardia (Slow heart rate),Monitor heart rate
Clopidogrel,Omeprazole,Moderate,CYP2C19 Inhibition,Reduced antiplatelet efficacy,Use alternative PPI (Pantoprazole)
Lithium,Ibuprofen,Major,Renal clearance reduction,Lithium toxicity,Avoid NSAIDs; use Acetaminophen
Warfarin,St. John’s Wort,Major,CYP3A4 Induction,Sub-therapeutic INR,Avoid herbal supplement
Simvastatin,Amiodarone,Moderate,CYP3A4 Inhibition,Increased risk of Rhabdomyolysis,Limit simvastatin to 20mg daily
Warfarin,Clarithromycin,Major,CYP3A4 Inhibition,Increased bleeding/INR,Frequent INR monitoring
Simvastatin,Grapefruit Juice,Moderate,CYP3A4 Inhibition,Increased statin exposure,Avoid large amounts of juice
Metoprolol,Digoxin,Moderate,Pharmacodynamic,Excessive Bradycardia,Monitor heart rate and ECG
Phenytoin,Warfarin,Major,CYP Induction/Metabolism,Erratic INR levels,Monitor INR closely
Rifampin,Sildenafil,Moderate,CYP3A4 Induction,Reduced Sildenafil efficacy,Monitor clinical response
Ibuprofen,Lisinopril,Moderate,Pharmacodynamic,Reduced BP control/Renal stress,Monitor blood pressure/Renal function
Fluoxetine,Warfarin,Moderate,CYP2C9 Inhibition,Increased bleeding risk,Monitor INR
Clarithromycin,Digoxin,Moderate,P-gp Inhibition,Digoxin toxicity,Monitor Digoxin levels
Phenytoin,Rifampin,Moderate,CYP Induction,Reduced Phenytoin levels,Monitor seizure frequency
Lithium,Lisinopril,Major,Reduced renal excretion,Lithium toxicity,Monitor Lithium levels regularly
Warfarin,Amiodarone,Major,CYP2C9 Inhibition,Significantly increased INR,Reduce Warfarin dose by 30-50%
Clopidogrel,Fluoxetine,Moderate,CYP2C19 Inhibition,Reduced antiplatelet activity,Monitor for thrombotic events
St. John’s Wort,Simvastatin,Moderate,CYP3A4 Induction,Reduced statin efficacy,Avoid St. John's Wort
Ibuprofen,Spironolactone,Moderate,Renal antagonism,Reduced diuretic effect/Hyperkalemia,Monitor BP and electrolytes
